Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Sampling rate
1.0078,15.736,22.16,9.7334,-16.693,-3.2899,-3.7298,2.3494,-6.4957,-13.603,2.2346,
1.0156,19.946,28.573,15.326,-7.3598,4.54,4.4963,8.1788,-1.5802,-8.9687,5.4625,
1.0234,25.068,31.861,22.096,-4.5966,9.0571,5.4126,11.814,1.3469,-6.9979,10.689,
1.0313,22.132,31.413,22.672,-3.8455,13.945,7.3085,11.452,1.4935,-6.0512,9.712,
1.0391,19.537,30.566,20.259,-1.1934,14.626,9.4579,11.354,3.6434,-1.4544,9.3196,
1.0469,24.548,33.459,23.988,1.2345,18.596,7.7594,12.6,3.1944,-4.021,10.66,
1.0547,31.789,33.631,25.384,3.6792,13.813,10.313,13.596,3.0798,-6.3792,11.069,
1.0625,20.688,24.25,15.315,-9.057,3.2955,4.2982,5.3799,-1.4266,-12.033,6.0074,
1.0703,13.652,20.813,12.228,-8.9352,4.1146,-1.6894,3.2751,-3.7502,-10.002,5.8984,
1.0781,8.5572,14.934,6.4147,-16.227,0.04366,-7.9532,-2.9017,-8.6441,-13.44,0.63604,
1.0859,5.9119,14.96,5.0224,-10.478,0.037654,-8.421,-3.9623,-8.7431,-17.236,0.4763,
1.0938,12.383,21.491,10.012,-9.6555,5.6371,-1.6819,2.3312,-0.84354,-12.103,4.4341,
1.1016,9.8286,20.72,8.7487,-15.401,2.5036,-1.6162,4.1865,-0.7739,-10.928,4.2255,
1.1094,16.956,23.843,12.315,-13.531,5.6051,-2.3217,3.808,-2.6941,-13.116,3.7435,
1.1172,17.451,30.724,18.381,-5.1219,10.615,4.584,11.405,6.7144,-10.501,12.358,
1.125,28.368,41.307,28.47,7.9077,18.677,12.835,20.516,15.389,0.067912,18.757,
1.1328,23.423,37.753,26.147,0.3348,18.909,7.7693,16.687,10.943,-6.4495,17.25,
1.1406,26.236,37.872,27.195,2.7338,23.042,8.5501,16.142,8.0968,-10.929,12.648,
1.1484,21.149,27.697,21.005,4.2678,14.975,0.20898,5.5445,0.5724,-14.142,5.4723,
1.1563,11.216,15.716,10.939,-3.4226,3.2496,-9.6892,-6.6087,-10.446,-21.297,-5.175,
1.1641,1.9644,9.2788,1.6658,-12.395,-0.36985,-14.193,-12.243,-10.435,-23.331,-8.6918,
1.1719,-2.9128,3.4737,-2.8705,-15.473,-6.3994,-13.566,-14.486,-14.294,-28.707,-11.715,
1.1797,0.60083,2.2123,-1.7145,-13.516,-9.0568,-18.218,-14.974,-17.348,-27.803,-11.796,
1.1875,-6.6165,-2.1083,-7.7582,-26.362,-12.871,-23.198,-18.493,-22.423,-33.037,-15.459,
1.1953,2.2146,7.4443,-0.49861,-13.818,-4.6297,-19.977,-12.548,-16.101,-26.267,-5.2425,
1.2031,7.7695,11.954,6.2826,-6.8298,4.0413,-15.526,-10.131,-13.73,-22.913,-2.0425,
1.2109,6.6188,14.046,6.7259,-7.7612,7.9035,-11.804,-8.5427,-12.795,-26.302,-3.6396,
1.2188,3.669,13.1,7.1053,-10.109,5.5284,-15.127,-8.9876,-14.828,-26.113,-6.006,
1.2266,12.412,18.096,11.925,-4.9158,5.3665,-9.984,-4.1842,-11.85,-21.023,-2.0535,
1.2344,10.57,15.755,8.617,-8.7756,3.9741,-15.016,-7.7913,-14.886,-24.884,-7.6058,
1.2422,1.1947,8.351,1.2473,-12.808,-0.16795,-22.971,-14.309,-21.55,-33.855,-15.424,
1.25,5.8027,7.2736,2.7764,-3.1457,-3.7759,-11.34,-10.479,-11.87,-20.111,-9.085,
1.2578,7.2564,1.8212,-2.6704,-11.222,-9.8699,-11.98,-14.073,-15.625,-22.254,-10.309,
1.2656,-4.4431,-2.9078,-10.301,-20.54,-10.526,-16.636,-17.974,-20.394,-25.988,-13.529,
1.2734,-4.4455,-4.1129,-10.622,-21.939,-11.038,-23.157,-20.301,-24.218,-30.948,-18.523,
1.2813,9.7603,6.6417,0.64174,-13.235,-2.878,-9.9131,-10.801,-12.661,-20.848,-6.5161,
1.2891,-2.8373,3.1389,-3.8308,-18.893,-2.9855,-18.107,-13.78,-19.625,-30.718,-12.927,
1.2969,-3.6353,3.9266,-1.4482,-17.92,-2.7348,-17.938,-12.927,-17.382,-25.052,-11.566,
1.3047,1.2845,4.601,-0.084972,-17.239,-2.9504,-10.949,-11.439,-13.721,-25.967,-7.9084,
1.3125,-4.2313,-1.8295,-5.3567,-22.839,-6.6234,-20.459,-16.982,-17.95,-27.157,-12.255,
1.3203,-9.487,-3.5557,-8.0443,-19.756,-11.384,-16.869,-16.561,-18.758,-22.741,-12.32,
1.3281,-3.0065,3.6633,-3.7017,-17.619,-7.1295,-8.8896,-11.191,-12.145,-16.605,-7.8736,
1.3359,-5.0747,0.95964,-2.8055,-13.846,-5.0438,-14.648,-15.187,-19.783,-29.622,-15.658,
